"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-641065.018626889,-374220.067473853,-187758.334527965,-39881.9065031002,-162412.603187188,-47817.5102692499,-305311.083972554,345481.115240917,1483.38026807599,413027.672766554,-233198.744210028,240584.881684908,-26700.3506605654,46063.9173058446,-225615.178792475,811.460230577679,41145.8188356453,61838.1444268011,60383.6982383525,-52319.6929912858,63577.6085911708,-35190.6974414313,129647.389385238,-19576.2758375671,5163.40677482109
-521814.320450681,-299980.941708847,-130686.974861607,-27525.3487468783,-104508.159318312,-28509.8048907794,-199470.130543779,229332.924616134,14876.6089703886,229116.459959972,-196616.682801213,189206.71629719,-56166.2338772419,12817.3655819728,-173654.501199618,14690.0597153774,18695.855281446,29697.9952326145,51842.6765270375,-38988.6632174562,14036.1356650331,-29935.4505986903,60569.7163769488,-21016.8973389371,20822.5816368568
-2182906.10443207,-1221874.67527989,-254570.207058614,-32267.1411094336,102540.71885116,-1355.95614852739,-88326.4690285468,134316.174181984,72695.2435530182,140270.293941192,-117095.672535676,142928.86754862,-196115.577478639,-120056.56458263,-267103.262474618,-357886.645632987,142089.024469918,-125945.174685756,-45026.42602391,13407.616132939,19207.6311547387,-8103.94163379794,162970.359016446,5930.97238026506,44063.9660980101
-3051766.18838902,-1705409.02723223,-369081.646543967,-30586.7659909118,230574.430384675,13486.0289257351,-30973.2855458804,84602.0977720639,31783.2446444804,121273.339028332,54554.4779461579,186457.434150169,-353379.067697375,-254289.413180078,-377060.148025402,-445681.976886301,242085.100534919,-349775.668892962,-137175.97798836,-58338.9139876947,-34984.9579498976,-13584.1096623537,114297.33670624,60430.8351885639,-12009.4480944107
-847343.930121021,-486595.841815666,-186942.160297447,-31585.835842599,-98417.4437273208,-39346.0828923954,-229650.094808338,246751.966979328,12038.0584115021,328867.675039573,-147468.651117727,236313.343634364,-65090.2024327755,-3385.24675156478,-215585.892451073,-8785.91279077002,42223.6372810412,33377.7843897158,58352.0133402933,-66807.7448013799,43433.468457891,-94077.4239671646,115508.307060018,-40842.8532052102,20844.8122099942
-1011277.87122989,-579292.015261859,-134817.435871108,-28797.1618043244,-60373.8997153619,-24330.1748094054,-203932.064840832,247039.511554013,141116.806124249,286899.093341308,-111530.430975888,164033.403001399,-76394.2650834218,-13636.9858078427,-194419.265805865,-127928.512195624,53051.1649116251,13271.9589725002,17812.7164749438,61510.3647680875,48429.464521491,43112.0808347365,108546.572862163,6355.55827560505,82259.2133378122
-511310.577706564,-302186.585833292,-158297.738630635,-35509.0482045606,-164307.055548689,-44013.6381891338,-299795.458950135,344761.081805515,15743.7811194682,385855.089033644,-194617.952013111,252705.386188084,-24414.793526632,50210.9058037631,-209050.758536243,28768.9762922081,9708.75890755233,100745.84098042,81207.1725098013,-48010.6257104753,46407.9642556217,-34920.332250883,63451.543126358,-24929.5846678144,23202.9526163853
-542837.979701961,-323875.043697304,-174248.337389718,-40338.3819574797,-197942.715124408,-61186.7967357472,-354895.153510835,380737.302962116,27517.1188458961,494868.293705178,-210628.56323289,297086.415340046,-14578.2983049969,57629.776715743,-249746.025291424,31352.0026079543,22931.9263780192,95023.9238900055,94708.2564300811,-49142.290239025,56418.7392825101,-78283.8167079795,123468.552101511,-35497.3134438826,21510.7449774337
-1276645.09566816,-722709.279024648,-214338.858977419,-31206.6394217532,-20815.7673031304,-19446.5104538908,-169701.976926474,207740.759280172,29440.2403306628,247488.712340991,-135820.319718057,170476.514368615,-147753.577333301,-66330.5698426287,-225688.222615608,-74367.3756513377,84940.7929378626,-68829.3854980226,699.758209997941,-57118.8947396234,29550.4073583285,-27122.5770402789,151074.343017659,-11194.1255856346,-3028.25977304911
-577091.745664598,-339442.74451521,-173217.024984144,-38750.9322894159,-171492.917197382,-43958.4633919675,-313366.441306616,362544.36912325,26653.6239961548,398273.781174034,-221088.294817435,263062.204740326,-79876.6141822422,12589.3168405818,-237138.380676257,26947.7911338061,32256.1621108409,58437.438668941,67656.8579031379,-67693.7438059579,52441.6526581425,-14669.7125485262,57383.8874212682,-17299.1144014885,28521.6197646256
