"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-1362862.35922461,-773514.729853728,-178688.883861112,-13209.3208441274,45880.7138191018,548.934270134297,-56831.8298965246,72462.8907708049,45729.3858992676,121356.695779962,11455.5036986019,77702.9782228611,-267453.070159429,-185473.153878196,-162287.095057532,97513.2263441323,14126.4596807686,18941.5007015672,46867.5637309037,-80354.6855992887,37907.1318497528,13514.6441701046,92327.136519067,-42738.1816406679,-9246.15388372829
-955143.617164058,-545125.831587657,-185754.065999472,-27275.9449559515,-53440.196695874,-20771.3036111832,-173489.499198073,211735.159110757,804.508851713134,286543.738192675,-88958.499024197,170425.420492076,-45506.6352334946,6254.14726785875,-151173.634080601,-76220.1330010877,13718.754052341,122841.819473917,72751.5211010804,-98268.9748816221,41237.9621710601,6965.27304300893,149914.974747229,-37645.1824736784,14002.7539301823
-1089113.55764159,-626116.844635427,-171839.864691512,-15356.8613514667,-5167.42819486498,-9279.59111114527,-124113.435012442,158983.441807893,34528.7751419101,246132.045731783,54968.4828976651,138954.119216011,-130935.888212309,-71644.691474499,-163534.708829213,77226.6998516767,4126.0899176489,45041.9288816749,51839.9417260386,-10741.7095109347,34716.3793731412,20293.9198288935,57831.9813362678,-37216.0241196881,87.1005875401981
-991934.154026165,-567592.123139253,-193643.637257952,-28304.8722795794,-55103.7688317281,-17308.8943936322,-174557.60884297,220850.471488677,12389.7130621625,272682.748120128,-116369.449911033,174735.239170007,-22338.0246760543,36846.7600377052,-164662.011834947,34561.1246196297,34934.6141818137,19044.6364400658,24308.6755764678,-25955.6362000585,47213.8094677393,62799.2203550751,125306.474623314,-49938.4801866722,-6780.81440604391
-1304336.72118218,-736490.279207054,-200484.683261644,-20310.0208170877,31331.4385023163,-10916.9992365258,-100324.838025088,122027.724564185,-1727.86743522445,162187.311461029,-68102.7617078158,123751.71363692,-44836.7007088316,-11325.5386623677,-132662.95839613,-73038.8656402202,21658.3305116282,46402.3223953604,41006.8718807021,-20124.3705431009,26790.1905746408,-1134.67906611656,51172.8736724044,-44965.8779562546,22104.0054725886
-2002435.62639188,-1138062.84819183,-306567.98341097,-13003.2361238831,107259.395435702,-2534.65673572583,-110602.398647337,172956.109353396,2925.85788347216,331279.111854721,200682.6499979,213627.834389207,-78601.9817176266,-41972.3753319117,-216245.069637962,-144887.591951205,12590.3505574579,68328.042296498,66967.6596511037,89147.6693090595,5960.24514032336,-72348.06021032,-98114.7522840907,-38752.8641537068,62048.7829954549
-1870443.19041049,-1048132.20050162,-256777.322348874,-25676.6423336814,102326.932395886,-1893.03021125541,-94390.8923019258,153533.613943073,11039.474405949,211438.767918853,-41938.1258584718,157703.276569313,-12766.403152446,14174.0330790574,-166246.69567603,-450789.7157491,83093.487285518,12579.9051377093,8422.10374965649,19995.8382668971,16298.1087543516,9186.0194360487,23632.656581657,-33460.1216228804,81088.7909858137
-2261265.90919292,-1276802.97304176,-230058.726572115,-20745.2923487864,107856.085166466,9998.76700882766,-65207.7777619017,113873.497629857,120883.714798391,105960.34754371,-26941.1144273269,107744.666452969,-297305.24470185,-201128.845373191,-248350.613160244,-154289.967459907,62785.3968243396,-30916.3806733879,17498.6735824228,84725.970810521,54394.5515522092,46020.4809254419,-58376.0983996868,22792.8701417524,94753.8243784484
-2235681.67595005,-1257039.70414886,-263769.098899147,-4150.18149848637,230565.437028125,13553.634411266,-40209.3903755936,103866.435265549,79575.8828681411,298062.885875901,418046.843886875,74673.8035571783,-202948.299485766,-179374.446031253,-248693.091016861,-567469.081729481,142601.598439747,-207537.735519494,-102043.77574446,453178.193778416,-15816.8550652847,114102.515459557,-70845.3511778086,36635.5937033142,32811.1071174506
-2368404.13549159,-1344176.12272878,-353297.122741963,-8527.17985528249,188114.20164625,6524.79741694291,-59569.6857981217,141410.682067635,-25253.9364407868,359810.084556252,416888.349906283,411245.22390349,242436.281432267,209403.963929677,-217914.978596048,-323956.704381686,50247.7756650604,29051.3320797139,21876.0098899373,297556.221653507,9146.61380070332,30572.5262674367,104312.92584039,-90000.132811043,27371.2422905362
